Loop Gain dB20 X,Loop Gain dB20 Y
1,24.22446020236456
1.659586907437561,24.22446020236456
2.754228703338167,24.22446020236458
4.570881896148751,24.22446020236455
7.585775750291838,24.22446020236056
12.58925411794167,24.22446020235313
20.8929613085404,24.22446020235311
34.67368504525317,24.22446020235304
57.54399373371569,24.22446020236028
95.4992586021436,24.2244602023597
158.4893192461114,24.22446020235826
263.0267991895382,24.22446020235419
436.515832240166,24.22446020234306
724.4359600749902,24.22446020231634
1202.264434617413,24.22446020224382
1995.26231496888,24.22446020203494
3311.311214825912,24.22446020147971
5495.408738576247,24.22446019993752
9120.1083935591,24.2244601956823
15135.61248436209,24.22446018396681
25118.86431509581,24.22446015170061
41686.93834703355,24.22446006284613
69183.09709189367,24.22445981807902
114815.3621496883,24.22445914394586
190546.0717963248,24.22445728726175
316227.766016838,24.22445217346559
524807.4602497728,24.22443808897701
870963.5899560809,24.2243992973338
1445439.770745928,24.2242924579601
2398832.919019491,24.22399821119
3981071.705534974,24.22318788886315
6606934.480075963,24.2209568379058
10964781.96143186,24.21481778729137
18197008.58609984,24.19795307006014
30199517.20402018,24.15183131277441
50118723.36272726,24.02721624594264
83176377.11026716,23.7009810482076
138038426.4602886,22.90895579111332
229086765.2767775,21.25395635843859
380189396.3205615,18.47292122749882
630957344.4801937,14.67068061195332
1047128548.0509,10.02405039313207
1737800828.749377,4.446389980235609
2884031503.126608,-2.253499275260323
4786300923.226388,-9.960388238147079
7943282347.242823,-18.28383181040256
13182567385.56408,-26.88917396787568
21877616239.49554,-35.59347884007448
36307805477.01016,-44.29571026550816
60255958607.43582,-52.8930634004474
100000000000,-61.19772207838159
