Phase X,Phase Y
1000000,-0.01566319540241046
1258925.411794167,-0.0197187957971821
1584893.192461114,-0.02482449526437249
1995262.31496888,-0.03125219220370296
2511886.431509581,-0.03934418748009646
3162277.66016838,-0.0495314144658138
3981071.705534974,-0.06235639035385761
5011872.336272725,-0.07850211224453953
6309573.444801935,-0.0988284393439256
7943282.347242818,-0.1244179037767641
10000000,-0.1566333996268733
12589254.11794168,-0.1971908423404901
15848931.92461114,-0.2482507077521804
19952623.14968881,-0.3125334051048975
25118864.31509582,-0.3934647869014151
31622776.60168381,-0.495359861473734
39810717.05534975,-0.6236551242602456
50118723.36272726,-0.7852031433616766
63095734.44801937,-0.9886476097421608
79432823.47242822,-1.244903866051648
100000000.0000001,-1.56778058723996
125892541.1794168,-1.974795917193013
158489319.2461115,-2.488272071781312
199526231.4968882,-3.136848393202842
251188643.1509583,-3.957658933821567
316227766.0168384,-4.999628709689198
398107170.5534979,-6.328764257108099
501187233.6272731,-8.03719815148526
630957344.4801943,-10.25967819232427
794328234.7242829,-13.20562000768991
1000000000.000002,-17.22555412217038
1258925411.794169,-22.95779496101184
1584893192.461116,-31.66599893140107
1995262314.968883,-45.94909689086096
2511886431.509585,-70.02945253060118
3162277660.168386,-102.6589940527206
3981071705.53498,-129.7365061358284
5011872336.272733,-146.2383931639023
6309573444.801946,-156.2113886260781
7943282347.242832,-162.7541286284319
10000000000.00002,-167.4033962685846
12589254117.9417,-170.9303571114416
15848931924.61117,-173.7596880491365
19952623149.68885,-176.1524869611026
25118864315.09587,-178.2886598836042
31622776601.68388,-180.306827859754
39810717055.34984,-182.3253918139035
50118723362.72737,-184.4547034526431
63095734448.01951,-186.8045666596135
79432823472.42839,-189.4885786284583
100000000000,-192.6251748466418
