Vout_dB20 X,Vout_dB20 Y
1000000,78.61114839970281
1258925.411794167,78.61114881551602
1584893.192461114,78.61114947453279
1995262.31496888,78.61115051900764
2511886.431509581,78.61115217438787
3162277.66016838,78.61115479798745
3981071.705534974,78.61115895611287
5011872.336272725,78.61116554630084
6309573.444801935,78.61117599103758
7943282.347242818,78.61119254482982
10000000,78.61121878081647
12589254.11794168,78.61126036203461
15848931.92461114,78.61132626378826
19952623.14968881,78.61143071092602
25118864.31509582,78.61159624823598
31622776.60168381,78.61185860655412
39810717.05534975,78.61227441487775
50118723.36272726,78.61293342265003
63095734.44801937,78.61397786948092
79432823.47242822,78.6156331806153
100000000.0000001,78.61825660721865
125892541.1794168,78.62241429312544
158489319.2461115,78.62900335695689
199526231.4968882,78.63944521507091
251188643.1509583,78.65599151639067
316227766.0168384,78.6822076588882
398107170.5534979,78.72373489159078
501187233.6272731,78.78948421576305
630957344.4801943,78.89347941099533
794328234.7242829,79.05759291385959
1000000000.000002,79.31513655199311
1258925411.794169,79.71332843436053
1584893192.461116,80.3021962158074
1995262314.968883,81.04459901046751
2511886431.509585,81.39665449171639
3162277660.168386,79.75644894462461
3981071705.53498,75.74420969834685
5011872336.272733,71.01198285128569
6309573444.801946,66.37111008095738
7943282347.242832,61.92775501029256
10000000000.00002,57.63943566761267
12589254117.9417,53.45607690932719
15848931924.61117,49.34110479498302
19952623149.68885,45.27050295907749
25118864315.09587,41.22925797771485
31622776601.68388,37.20852698083391
39810717055.34984,33.20383082168934
50118723362.72737,29.21409510420418
63095734448.01951,25.24136766107074
79432823472.42839,21.29111597320712
100000000000,17.37305404172372
