Loop Gain Phase X,Loop Gain Phase Y
1,179.9999996613219
1.659586907437561,179.9999994379343
2.754228703338167,179.9999990672031
4.570881896148751,179.9999984519426
7.585775750291838,179.9999974308641
12.58925411794167,179.9999957362957
20.8929613085404,179.9999929240122
34.67368504525317,179.9999882567832
57.54399373371569,179.9999805111111
95.4992586021436,179.9999676564952
158.4893192461114,179.9999463231429
263.0267991895382,179.9999109185907
436.515832240166,179.9998521616595
724.4359600749902,179.9997546494256
1202.264434617413,179.9995928193991
1995.26231496888,179.9993242484058
3311.311214825912,179.9988785315016
5495.408738576247,179.9981388255634
9120.1083935591,179.9969112192742
15135.61248436209,179.9948738999551
25118.86431509581,179.9914927915141
41686.93834703355,179.9858815483372
69183.09709189367,179.9765692031955
114815.3621496883,179.961114559721
190546.0717963248,179.9354662476378
316227.766016838,179.8929006990376
524807.4602497728,179.8222597202101
870963.5899560809,179.705026011725
1445439.770745928,179.5104716722298
2398832.919019491,179.1876155496782
3981071.705534974,178.6519161070186
6606934.480075963,177.7633711629621
10964781.96143186,176.2910101297814
18197008.58609984,173.8577468611157
30199517.20402018,169.8655568470702
50118723.36272726,163.4407692199165
83176377.11026716,153.5888382976541
138038426.4602886,139.9978709059474
229086765.2767775,124.302355673346
380189396.3205615,109.3714712430757
630957344.4801937,96.4532778684374
1047128548.0509,84.52210944772644
1737800828.749377,71.69334406288063
2884031503.126608,56.72677295624712
4786300923.226388,40.50003097170563
7943282347.242823,25.7093153779706
13182567385.56408,14.02743867100032
21877616239.49554,4.962196019955345
36307805477.01016,-3.023310590935627
60255958607.43582,-11.66532417704945
100000000000,-22.56775321165173
