Vout_dB20 X,Vout_dB20 Y
1000000,71.03009470839336
1258925.411794167,71.03009484227388
1584893.192461114,71.03009505445841
1995262.31496888,71.03009539075042
2511886.431509581,71.03009592373911
3162277.66016838,71.03009676846543
3981071.705534974,71.03009810726596
5011872.336272725,71.0301002291198
6309573.444801935,71.03010359202004
7943282.347242818,71.03010892183866
10000000,71.03011736897481
12589254.11794168,71.03013075664818
15848931.92461114,71.03015197433623
19952623.14968881,71.03018560123488
25118864.31509582,71.03023889411348
31622776.60168381,71.03032335217024
39810717.05534975,71.03045719546073
50118723.36272726,71.0306692883288
63095734.44801937,71.03100534633261
79432823.47242822,71.03153774493401
100000000.0000001,71.03238099342693
125892541.1794168,71.03371607874747
158489319.2461115,71.03582859266749
199526231.4968882,71.03916801159281
251188643.1509583,71.04443874726763
316227766.0168384,71.05273709181051
398107170.5534979,71.06574948426251
501187233.6272731,71.08601844222861
630957344.4801943,71.11723826601391
794328234.7242829,71.16439059367825
1000000000.000002,71.23305796302978
1258925411.794169,71.32584562505515
1584893192.461116,71.42980836674367
1995262314.968883,71.47872155201844
2511886431.509585,71.26211980567435
3162277660.168386,70.32019299532196
3981071705.53498,68.16422895618599
5011872336.272733,64.8793570971249
6309573444.801946,61.00081363277151
7943282347.242832,56.92765318084113
10000000000.00002,52.82424401579073
12589254117.9417,48.7383971867925
15848931924.61117,44.67754523923148
19952623149.68885,40.63819910719658
25118864315.09587,36.61550557433381
31622776601.68388,32.60595381185792
39810717055.34984,28.60799847738968
50118723362.72737,24.62222713222338
63095734448.01951,20.65162973366192
79432823472.42839,16.70217899839324
100000000000,12.78380671129562
