Vout X,Vout YRe,Vout YReImag
1000000,8522.311493215106,-2.329781262392269
1258925.411794167,8522.311714937412,-2.933021114116626
1584893.192461114,8522.312066340892,-3.692455370510669
1995262.31496888,8522.312623281203,-4.648527008449289
2511886.431509581,8522.31350597086,-5.852150994284084
3162277.66016838,8522.314904937441,-7.367426021738127
3981071.705534974,8522.317122147017,-9.27504866009393
5011872.336272725,8522.320636183018,-11.67661205565694
6309573.444801935,8522.326205527979,-14.70001876091346
7943282.347242818,8522.335032296874,-18.5062972465276
10000000,8522.349021654578,-23.29818769965685
12589254.11794168,8522.371192968036,-29.33095951909416
15848931.92461114,8522.406331326954,-36.92604692613146
19952623.14968881,8522.462019838258,-46.4882494863407
25118864.31509582,8522.550275080708,-58.52745473906732
31622776.60168381,8522.690137386391,-73.68612198697002
39810717.05534975,8522.91177198611,-92.77415502311942
50118723.36272726,8523.262958182937,-116.8133486839603
63095734.44801937,8523.81934725784,-147.094430914545
79432823.47242822,8524.700652619513,-185.2510467406179
100000000.0000001,8526.09613921227,-233.357242520366
125892541.1794168,8528.304590586864,-294.0588893710859
158489319.2461115,8531.79655781319,-370.7565872977383
199526231.4968882,8537.310218159324,-467.8710551831165
251188643.1509583,8545.996070761188,-591.2482917317914
316227766.0168384,8559.627299395746,-748.8144597401205
398107170.5534979,8580.882268487076,-951.6988388819457
501187233.6272731,8613.650899730332,-1216.272907367856
630957344.4801943,8663.108602222686,-1568.056465267915
794328234.7242829,8734.555451732374,-2049.575390695036
1000000000.000002,8827.277138358118,-2736.813573490048
1258925411.794169,8908.983581428862,-3773.896654808108
1584893192.461116,8812.558857475129,-5435.525463179365
1995262314.968883,7841.522927907015,-8105.710878019612
2511886431.509585,4011.165248641556,-11038.23742143874
3162277660.168386,-2130.884435751766,-9487.133876207163
3981071705.53498,-3916.395989660641,-4711.210793286592
5011872336.272733,-2953.83835999561,-1974.557345291575
6309573444.801946,-1905.441052435732,-839.947259783698
7943282347.242832,-1192.366889891907,-370.1455588247994
10000000000.00002,-743.6872128981425,-166.187502273618
12589254117.9417,-464.8789002310406,-74.20893035467279
15848931924.61117,-291.3897525042825,-31.86250739078853
19952623149.68885,-183.0396665733307,-12.30994658287394
25118864315.09587,-115.1513799537285,-3.44042441621059
31622776601.68388,-72.51370938850134,0.3883259662682578
39810717055.34984,-45.69132552931266,1.855435291619612
50118723362.72737,-28.79988725079076,2.243692237850732
63095734448.01951,-18.15509045669081,2.166331078098123
79432823472.42839,-11.44387143446551,1.912702272070841
100000000000,-7.211453070276737,1.615277981250771
