Vout_dB20 X,Vout_dB20 Y
1000000,68.14718545009288
1258925.411794167,68.14718565856691
1584893.192461114,68.14718598897289
1995262.31496888,68.14718651263244
2511886.431509581,68.147187342577
3162277.66016838,68.14718865794933
3981071.705534974,68.14719074266873
5011872.336272725,68.14719404672401
6309573.444801935,68.14719928327584
7943282.347242818,68.14720758260307
10000000,68.14722073603672
12589254.11794168,68.14724158252443
15848931.92461114,68.14727462123702
19952623.14968881,68.14732698219201
25118864.31509582,68.14740996400973
31622776.60168381,68.14754146950671
39810717.05534975,68.14774986198886
50118723.36272726,68.14808006721839
63095734.44801937,68.14860321982462
79432823.47242822,68.14943188986487
100000000.0000001,68.15074405956584
125892541.1794168,68.1528207316577
158489319.2461115,68.15610454535516
199526231.4968882,68.16129017601108
251188643.1509583,68.16946126587139
316227766.0168384,68.18229126514535
398107170.5534979,68.20232012679395
501187233.6272731,68.23328446420996
630957344.4801943,68.28035365242229
794328234.7242829,68.34972581050005
1000000000.000002,68.44582724114444
1258925411.794169,68.56080910969905
1584893192.461116,68.64167588767839
1995262314.968883,68.50565086326776
2511886431.509585,67.71805693706013
3162277660.168386,65.73958300517796
3981071705.53498,62.5583256381593
5011872336.272733,58.70744110215301
6309573444.801946,54.63034101297158
7943282347.242832,50.51628147438903
10000000000.00002,46.42096761812238
12589254117.9417,42.35335410996883
15848931924.61117,38.3097323057068
19952623149.68885,34.28476774682886
25118864315.09587,30.27461865932186
31622776601.68388,26.27766258588778
39810717055.34984,22.29470225149044
50118723362.72737,18.32928401839778
63095734448.01951,14.38835709102614
79432823472.42839,10.48334737915467
100000000000,6.63157504136837
