Loop Gain Phase X,Loop Gain Phase Y
1,179.9999995832911
1.659586907437561,179.9999993084353
2.754228703338167,179.9999988522883
4.570881896148751,179.9999980952727
7.585775750291838,179.9999968389395
12.58925411794167,179.9999947539453
20.8929613085404,179.9999912937164
34.67368504525317,179.9999855511657
57.54399373371569,179.9999760209037
95.4992586021436,179.9999602046058
158.4893192461114,179.9999339560848
263.0267991895382,179.999890394383
436.515832240166,179.999818099953
724.4359600749902,179.9996981210636
1202.264434617413,179.9994990056695
1995.26231496888,179.9991685563684
3311.311214825912,179.9986201470349
5495.408738576247,179.9977100140857
9120.1083935591,179.9961995693615
15135.61248436209,179.9936928550842
25118.86431509581,179.9895327449401
41686.93834703355,179.9826286808465
69183.09709189367,179.9711707875423
114815.3621496883,179.9521554227357
190546.0717963248,179.9205977946953
316227.766016838,179.8682252709083
524807.4602497728,179.7813089848064
870963.5899560809,179.6370659966043
1445439.770745928,179.3976920132807
2398832.919019491,179.0004748321364
3981071.705534974,178.3414628375951
6606934.480075963,177.2487084043315
10964781.96143186,175.4394379051032
18197008.58609984,172.4560341717718
30199517.20402018,167.5904273364281
50118723.36272726,159.8799406899129
83176377.11026716,148.4751780450256
138038426.4602886,133.7781278032146
229086765.2767775,118.2533703985473
380189396.3205615,104.4358400466762
630957344.4801937,92.57006411555142
1047128548.0509,81.1276011939035
1737800828.749377,68.24733101781527
2884031503.126608,53.08809063058926
4786300923.226388,37.10686101383867
7943282347.242823,23.08135112695966
13182567385.56408,12.2462172939676
21877616239.49554,3.825962237456643
36307805477.01016,-3.742079340276058
60255958607.43582,-12.13846508981535
100000000000,-22.91555839334304
