Phase X,Phase Y
1000000,-0.02405173882793783
1258925.411794167,-0.03027934618789351
1584893.192461114,-0.03811944032294973
1995262.31496888,-0.0479895360057033
2511886.431509581,-0.06041525415877306
3162277.66016838,-0.07605831424567711
3981071.705534974,-0.09575177555888868
5011872.336272725,-0.1205444052822479
6309573.444801935,-0.1517565383800908
7943282.347242818,-0.1910504086295251
10000000,-0.2405187053051463
12589254.11794168,-0.3027960896886862
15848931.92461114,-0.3811996463925323
19952623.14968881,-0.4799058215200199
25118864.31509582,-0.6041734148816238
31622776.60168381,-0.7606247899333036
39810717.05534975,-0.9576008525342627
50118723.36272726,-1.205609850825157
63095734.44801937,-1.517896187342269
79432823.47242822,-1.911164104071654
100000000.0000001,-2.406503891697147
125892541.1794168,-3.030588113307681
158489319.2461115,-3.81723774297188
199526231.4968882,-4.809513683825267
251188643.1509583,-6.062588297548116
316227766.0168384,-7.647833887778443
398107170.5534979,-9.658906275198758
501187233.6272731,-12.22124270447476
630957344.4801943,-15.50757759567622
794328234.7242829,-19.76413393983733
1000000000.000002,-25.35502624893491
1258925411.794169,-32.83288722448636
1584893192.461116,-43.02210132023036
1995262314.968883,-56.97651586025329
2511886431.509585,-75.30598295743415
3162277660.168386,-96.45892763814231
3981071705.53498,-116.4737174406536
5011872336.272733,-132.4920945523437
6309573444.801946,-144.3992748471388
7943282347.242832,-153.2102170411137
10000000000.00002,-159.8899420301582
12589254117.9417,-165.1210959101989
15848931924.61117,-169.3644339519311
19952623149.68885,-172.9412781238718
25118864315.09587,-176.090307806315
31622776601.68388,-179.0023297348179
39810717055.34984,-181.8414529246006
50118723362.72737,-184.7582612863408
63095734448.01951,-187.8977401666265
79432823472.42839,-191.4026011755219
100000000000,-195.4109521461824
