Vout X,Vout YRe,Vout YReImag
1000000,2652.321132729955,-1.018621757964479
1258925.411794167,2652.321131610545,-1.282368924894322
1584893.192461114,2652.321129836559,-1.61440704390139
1995262.31496888,2652.321127024589,-2.032418485632681
2511886.431509581,2652.321122566753,-2.55866414308463
3162277.66016838,2652.321115501646,-3.221169034120052
3981071.705534974,2652.321104300066,-4.055214992862385
5011872.336272725,2652.321086540011,-5.105220068746602
6309573.444801935,2652.32105837097,-6.42710497272412
7943282.347242818,2652.321013676634,-8.091273100293883
10000000,2652.320942714284,-10.18636384200178
12589254.11794168,2652.320829931233,-12.82398108070164
15848931.92461114,2652.320650388601,-16.1446527199011
19952623.14968881,2652.320363838684,-20.32534665936286
25118864.31509582,2652.319904679299,-25.58895953239593
31622776.60168381,2652.319164379031,-32.21631556108186
39810717.05534975,2652.317959471426,-40.56137845292575
50118723.36272726,2652.315970401174,-51.07061400528995
63095734.44801937,2652.312618351451,-64.30778909529694
79432823.47242822,2652.306804031139,-80.98603556737801
100000000.0000001,2652.296327424259,-102.0098998301215
125892541.1794168,2652.27654885208,-128.5316389913649
158489319.2461115,2652.237206830955,-162.0287938469971
199526231.4968882,2652.15468480093,-204.4152098377341
251188643.1509583,2651.97288991902,-258.2074334251868
316227766.0168384,2651.555274738161,-326.7871663004205
398107170.5534979,2650.562697078488,-414.8365747019507
501187233.6272731,2648.137292845911,-529.091548449926
630957344.4801943,2642.067179693489,-679.6784055234587
794328234.7242829,2626.522272796177,-882.4597652676684
1000000000.000002,2585.752250140536,-1162.702373339977
1258925411.794169,2476.422027008025,-1557.763813652469
1584893192.461116,2182.643747234666,-2098.975374593127
1995262314.968883,1459.846886136313,-2680.132631070928
2511886431.509585,212.2678432815039,-2750.69351938392
3162277660.168386,-745.4054755345311,-1916.307660639088
3981071705.53498,-874.5326914837983,-992.2454523508256
5011872336.272733,-663.7132988183913,-463.5109997139946
6309573444.801946,-445.1216579963237,-213.8099803768174
7943282347.242832,-286.9033146033392,-99.23612466782949
10000000000.00002,-182.422700323694,-46.07639510377232
12589254117.9417,-115.4249931989901,-21.0753892938882
15848931924.61117,-72.90139345498137,-9.247885474854829
19952623149.68885,-46.01224624828606,-3.682265448583661
25118864315.09587,-29.03288809719623,-1.117888344532302
31622776601.68388,-18.31667673899633,0.008475473115739002
39810717055.34984,-11.55461438155932,0.4530967525486767
50118723362.72737,-7.287952352751557,0.5826874588320931
63095734448.01951,-4.595871496961273,0.5741948018765848
79432823472.42839,-2.897292862465034,0.5117973116998832
100000000000,-1.825568489681235,0.434400087613842
