Vout X,Vout YRe,Vout YReImag
1000000,5457.264871266403,-1.912006501849774
1258925.411794167,5457.265014000285,-2.407073869599016
1584893.192461114,5457.265240218999,-3.030327054906405
1995262.31496888,5457.265598751627,-3.814956917467391
2511886.431509581,5457.266166984926,-4.802748566697883
3162277.66016838,5457.267067573266,-6.046306922698681
3981071.705534974,5457.268494903793,-7.611858821455301
5011872.336272725,5457.2707570562,-9.582781234786575
6309573.444801935,5457.274342290851,-12.06404419039026
7943282.347242818,5457.2800244171,-15.18780637993826
10000000,5457.289029758134,-19.1204642078
12589254.11794168,5457.303301707739,-24.07153518715516
15848931.92461114,5457.325919827495,-30.30485976987841
19952623.14968881,5457.361763626692,-38.15274012504472
25118864.31509582,5457.418563414584,-48.03381266480806
31622776.60168381,5457.508562888448,-60.47569362694771
39810717.05534975,5457.651146855612,-76.14377840434041
50118723.36272726,5457.876987510891,-95.87807717916955
63095734.44801937,5458.234569613411,-120.7407454243752
79432823.47242822,5458.800415676909,-152.0782335520262
100000000.0000001,5459.694997665086,-191.6041530539498
125892541.1794168,5461.107210623093,-241.512859462389
158489319.2461115,5463.331266872669,-304.6410286963126
199526231.4968882,5466.820318474364,-384.7084826907495
251188643.1509583,5472.258882561344,-486.6970577843749
316227766.0168384,5480.644559024809,-617.4817841278
398107170.5534979,5493.328299794435,-786.9428355338761
501187233.6272731,5511.828610168989,-1010.026475707976
630957344.4801943,5536.803606691942,-1310.731423028577
794328234.7242829,5564.126165163089,-1730.035776153455
1000000000.000002,5570.951209925474,-2341.41355323792
1258925411.794169,5466.366661783012,-3275.499690946392
1584893192.461116,4924.90143160066,-4704.961667413681
1995262314.968883,3058.432301656635,-6381.334162322379
2511886431.509585,-403.830329183087,-6226.053228757517
3162277660.168386,-2229.927718705323,-3614.875372365293
3981071705.53498,-1961.44989963375,-1620.097196453138
5011872336.272733,-1329.116304738261,-704.2345486886981
6309573444.801946,-847.2825652253636,-313.5185952515395
7943282347.242832,-532.6968715154117,-142.3352889572192
10000000000.00002,-334.271459393828,-64.76363036214867
12589254117.9417,-209.9459261601285,-28.82928352181436
15848931924.61117,-132.027978098558,-12.05664270191446
19952623149.68885,-83.11442832955601,-4.294760992012365
25118864315.09587,-52.36059054695265,-0.8116705962356352
31622776601.68388,-33.00164407814025,0.6433138456786733
39810717055.34984,-20.80559069244024,1.151848351983296
50118723362.72737,-13.11794448329138,1.234632782352688
63095734448.01951,-8.270403515082078,1.14043755000511
79432823472.42839,-5.213028912810535,0.9857624873492643
100000000000,-3.284442835200621,0.8229717688773611
