Phase X,Phase Y
1000000,-0.02366538148013338
1258925.411794167,-0.02979295131799871
1584893.192461114,-0.0375071058866387
1995262.31496888,-0.04721865347239324
2511886.431509581,-0.05944477224229755
3162277.66016838,-0.07483655327965245
3981071.705534974,-0.09421367637629573
5011872.336272725,-0.1186080665928537
6309573.444801935,-0.1493188592493391
7943282.347242818,-0.1879816060013307
10000000,-0.2366554185899498
12589254.11794168,-0.2979327131597379
15848931.92461114,-0.3750774436677326
19952623.14968881,-0.4721992740849608
25118864.31509582,-0.5944731408136965
31622776.60168381,-0.748416249228684
39810717.05534975,-0.9422379565854258
50118723.36272726,-1.18628257290081
63095734.44801937,-1.493591452218855
79432823.47242822,-1.880619878234743
100000000.0000001,-2.368158037251408
125892541.1794168,-2.982527307786619
158489319.2461115,-3.757159849542715
199526231.4968882,-4.734733986831531
251188643.1509583,-5.97015551422418
316227766.0168384,-7.534895763221201
398107170.5534979,-9.52361940973273
501187233.6272731,-12.06484987623552
630957344.4801943,-15.33898444356785
794328234.7242829,-19.60986019292231
1000000000.000002,-25.2806901300402
1258925411.794169,-32.98835874579797
1584893192.461116,-43.72555352148927
1995262314.968883,-58.80101294517824
2511886431.509585,-78.8636079443188
3162277660.168386,-101.507876375056
3981071705.53498,-121.7698263723922
5011872336.272733,-137.1219129079392
6309573444.801946,-148.1616571316189
7943282347.242832,-156.2099793822325
10000000000.00002,-162.2862445290416
12589254117.9417,-167.0554603531462
15848931924.61117,-170.9509002385335
19952623149.68885,-174.270932053436
25118864315.09587,-177.2373656109495
31622776601.68388,-180.029178936254
39810717055.34984,-182.8024505136019
50118723362.72737,-185.7024498487972
63095734448.01951,-188.8705046165742
79432823472.42839,-192.4460152321118
100000000000,-196.5622531614374
