Vout_dB20 X,Vout_dB20 Y
1000000,61.96331116120587
1258925.411794167,61.96331129736635
1584893.192461114,61.963311513165
1995262.31496888,61.96331185517894
2511886.431509581,61.96331239724106
3162277.66016838,61.96331325634407
3981071.705534974,61.96331461793078
5011872.336272725,61.96331677589476
6309573.444801935,61.96332019601898
7943282.347242818,61.96332561650694
10000000,61.96333420728836
12589254.11794168,61.96334782248282
15848931.92461114,61.9633694004111
19952623.14968881,61.96340359737555
25118864.31509582,61.9634577915033
31622776.60168381,61.96354367234473
39810717.05534975,61.96367975651328
50118723.36272726,61.96389536557614
63095734.44801937,61.96423690751204
79432823.47242822,61.96477777431171
100000000.0000001,61.9656338829916
125892541.1794168,61.96698794024411
158489319.2461115,61.9691269770673
199526231.4968882,61.97249951153461
251188643.1509583,61.97780026817164
316227766.0168384,61.98608954405525
398107170.5534979,61.99894439912883
501187233.6272731,62.0186007098599
630957344.4801943,62.04792517166638
794328234.7242829,62.08970597765049
1000000000.000002,62.14376369502596
1258925411.794169,62.19771595334709
1584893192.461116,62.20086803819586
1995262314.968883,62.0021249123543
2511886431.509585,61.26124383516691
3162277660.168386,59.52251033314653
3981071705.53498,56.65977931693788
5011872336.272733,53.0461166762288
6309573444.801946,49.10563312552843
7943282347.242832,45.0650326900065
10000000000.00002,41.00956859470182
12589254117.9417,36.96417620664272
15848931924.61117,32.93317862597998
19952623149.68885,28.9152977536017
25118864315.09587,24.90875906314143
31622776601.68388,20.91294071921993
39810717055.34984,16.92899504205017
50118723362.72737,12.96033611999083
63095734448.01951,9.013340416595517
79432823472.42839,5.098400177391093
100000000000,1.231324705515919
