Von X,Von Y
1,5.20106992347971e-05
1.258925411794167,4.594958153806221e-05
1.584893192461114,4.061837325623491e-05
1.99526231496888,3.592654833931192e-05
2.511886431509581,3.179507004530037e-05
3.16227766016838,2.815491017332576e-05
3.981071705534974,2.494576073560441e-05
5.011872336272725,2.211491297194074e-05
6.309573444801935,1.961628188817308e-05
7.943282347242818,1.740955734892212e-05
10.00000000000001,1.54594652313139e-05
12.58925411794168,1.373512429890275e-05
15.84893192461115,1.22094863262494e-05
19.95262314968881,1.085884863138327e-05
25.11886431509582,9.662429587723567e-06
31.62277660168382,8.601998916768825e-06
39.81071705534977,7.661555632152206e-06
50.11872336272729,6.827047435485874e-06
63.0957344480194,6.086126173009879e-06
79.43282347242825,5.42793466525167e-06
100.0000000000001,4.842920833445077e-06
125.8925411794169,4.322675578300634e-06
158.4893192461116,3.85979132924502e-06
199.5262314968883,3.447738584479722e-06
251.1886431509584,3.080758111991397e-06
316.2277660168385,2.753766785799602e-06
398.107170553498,2.462275296183278e-06
501.1872336272732,2.202316202546045e-06
630.9573444801945,1.970380997452397e-06
794.3282347242831,1.763365024100079e-06
1000.000000000002,1.578519240490207e-06
1258.92541179417,1.413407954777452e-06
1584.893192461117,1.265871770306104e-06
1995.262314968884,1.133995077909053e-06
2511.886431509586,1.016077519119757e-06
3162.277660168386,9.106089187235815e-07
3981.071705534981,8.162472500348359e-07
5011.872336272734,7.317992527191764e-07
6309.573444801948,6.562033720057775e-07
7943.282347242834,5.885147307296418e-07
10000.00000000003,5.278918826535304e-07
12589.25411794171,4.7358512768337e-07
15848.93192461118,4.249261975463296e-07
19952.62314968885,3.81319144806605e-07
25118.86431509587,3.422322892301325e-07
31622.77660168388,3.071910938972616e-07
39810.71705534984,2.757718594635364e-07
50118.72336272738,2.475961388992608e-07
63095.73444801952,2.223257871729831e-07
79432.82347242841,1.996585709152158e-07
100000.0000000003,1.793242723193559e-07
125892.5411794172,1.610812295755156e-07
158489.3192461119,1.447132631518012e-07
199526.2314968887,1.300269433659835e-07
251188.6431509589,1.16849160043277e-07
316227.7660168391,1.05024959734997e-07
398107.1705534988,9.441562006273382e-08
501187.2336272742,8.489693432683998e-08
630957.3444801958,7.635768264208618e-08
794328.2347242847,6.869826858969667e-08
1000000.000000004,6.182950275112861e-08
1258925.411794172,5.567151655433593e-08
1584893.19246112,5.015279165284128e-08
1995262.314968888,4.520929159970309e-08
2511886.431509591,4.078368390192251e-08
3162277.660168393,3.682464167307978e-08
3981071.70553499,3.328621507437691e-08
5011872.336272745,3.012726358818132e-08
6309573.444801961,2.731094095770537e-08
7943282.347242852,2.48042254284565e-08
10000000.00000005,2.257748883911765e-08
12589254.11794173,2.060409925345309e-08
15848931.92461121,1.88600533224081e-08
19952623.14968889,1.732363650461085e-08
25118864.31509592,1.597511164691442e-08
31622776.60168395,1.479643905626755e-08
39810717.05534992,1.377103368758488e-08
50118723.36272748,1.288356685053303e-08
63095734.44801965,1.211982031270101e-08
79432823.47242856,1.146659955964787e-08
100000000.0000005,1.091171063907314e-08
125892541.1794174,1.044400270443403e-08
158489319.2461122,1.005347804487128e-08
199526231.4968891,9.731475201530826e-09
251188643.1509594,9.47094028483906e-09
316227766.0168397,9.266816673300066e-09
398107170.5534995,9.116599554457346e-09
501187233.6272751,9.021102736603367e-09
630957344.4801968,8.985414659741929e-09
794328234.7242861,9.019688904193717e-09
1000000000.000006,9.138179907504307e-09
1258925411.794175,9.350700737294064e-09
1584893192.461123,9.627877064764717e-09
1995262314.968892,9.799004472176846e-09
2511886431.509595,9.413609476837363e-09
3162277660.168399,8.054256798023624e-09
3981071705.534997,6.148502517025341e-09
5011872336.272755,4.458837523790075e-09
6309573444.801973,3.229298311304595e-09
7943282347.242867,2.379926334096233e-09
10000000000.00006,1.788806330580381e-09
12589254117.94176,1.366760803555461e-09
15848931924.61124,1.057134270024089e-09
19952623149.68893,8.247163188662787e-10
25118864315.09597,6.47189291433237e-10
31622776601.68401,5.098874769761448e-10
39810717055.35,4.027769857613109e-10
50118723362.72758,3.187302639586085e-10
63095734448.01977,2.525235462472872e-10
79432823472.42871,2.002351651395777e-10
100000000000.0007,1.588689876429802e-10
125892541179.4176,1.261077340106665e-10
158489319246.1125,1.001441012252253e-10
199526231496.8894,7.956061686517491e-11
251188643150.9599,6.324147299746574e-11
316227766016.8403,5.030629317954772e-11
398107170553.5002,4.005952064986243e-11
501187233627.2761,3.195126337138131e-11
630957344480.198,2.554671029282175e-11
794328234724.2875,2.050201838386416e-11
1000000000000,1.654506247626511e-11
